"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"26.02.2021","1.471,39","1.457,18","1.480,04","1.443,17","3,71B","-1,13%"
"25.02.2021","1.488,21","1.510,32","1.514,81","1.460,36","4,43B","0,35%"
"24.02.2021","1.483,02","1.506,53","1.523,19","1.483,02","4,25B","-2,30%"
"23.02.2021","1.517,86","1.558,03","1.560,29","1.515,25","5,10B","-2,11%"
"22.02.2021","1.550,61","1.563,08","1.569,84","1.547,49","4,05B","-0,62%"
"19.02.2021","1.560,34","1.551,54","1.567,42","1.550,14","4,24B","0,90%"
"18.02.2021","1.546,41","1.548,04","1.562,83","1.544,22","4,68B","0,38%"
"17.02.2021","1.540,59","1.550,49","1.553,41","1.529,93","5,05B","-0,14%"
"16.02.2021","1.542,82","1.569,12","1.575,70","1.522,08","5,63B","-1,26%"
"15.02.2021","1.562,49","1.551,12","1.565,83","1.547,38","2,96B","1,56%"
"12.02.2021","1.538,44","1.542,50","1.548,69","1.526,72","3,02B","-0,46%"
"11.02.2021","1.545,59","1.548,69","1.558,08","1.543,67","3,34B","-0,10%"
"10.02.2021","1.547,11","1.553,41","1.556,70","1.536,44","3,95B","0,20%"
"09.02.2021","1.544,05","1.538,53","1.551,83","1.535,59","5,43B","0,60%"
"08.02.2021","1.534,91","1.540,22","1.542,44","1.519,00","6,52B","0,51%"
"05.02.2021","1.527,17","1.544,79","1.549,51","1.527,17","3,82B","-0,50%"
"04.02.2021","1.534,90","1.537,65","1.544,63","1.530,82","4,22B","0,09%"
"03.02.2021","1.533,55","1.520,70","1.533,55","1.509,18","5,13B","1,46%"
"02.02.2021","1.511,43","1.505,09","1.517,53","1.500,04","4,77B","1,27%"
"01.02.2021","1.492,45","1.484,86","1.500,88","1.471,54","3,82B","1,29%"
"29.01.2021","1.473,45","1.485,21","1.495,54","1.469,55","4,51B","-1,66%"
"28.01.2021","1.498,32","1.453,37","1.498,43","1.431,32","5,83B","2,13%"
"27.01.2021","1.467,00","1.536,13","1.541,01","1.467,00","5,79B","-4,50%"
"26.01.2021","1.536,11","1.538,03","1.548,61","1.516,81","5,30B","-0,27%"
"25.01.2021","1.540,21","1.556,57","1.560,13","1.536,97","4,81B","-0,15%"
"22.01.2021","1.542,45","1.551,47","1.555,59","1.525,93","4,69B","-0,59%"
"21.01.2021","1.551,57","1.578,03","1.582,04","1.551,57","5,61B","-1,13%"
"20.01.2021","1.569,35","1.573,37","1.574,30","1.552,10","4,56B","0,28%"
"19.01.2021","1.565,01","1.569,56","1.578,30","1.561,02","4,84B","0,53%"
"18.01.2021","1.556,77","1.525,45","1.558,81","1.508,90","4,68B","2,12%"
"15.01.2021","1.524,49","1.536,82","1.547,84","1.516,14","4,76B","-1,43%"
"14.01.2021","1.546,60","1.567,11","1.568,06","1.542,17","4,81B","-0,81%"
"13.01.2021","1.559,28","1.559,77","1.567,88","1.545,26","4,88B","0,63%"
"12.01.2021","1.549,53","1.549,04","1.556,35","1.537,38","5,17B","0,87%"
"11.01.2021","1.536,19","1.539,96","1.557,45","1.522,25","5,41B","-0,29%"
"08.01.2021","1.540,61","1.526,51","1.542,75","1.519,80","5,50B","1,21%"
"07.01.2021","1.522,24","1.511,60","1.522,70","1.505,70","6,18B","1,12%"
"06.01.2021","1.505,42","1.501,61","1.509,49","1.497,09","5,33B","1,06%"
"05.01.2021","1.489,56","1.492,19","1.506,89","1.474,76","6,66B","-0,39%"
"04.01.2021","1.495,43","1.482,17","1.500,01","1.478,70","5,17B","1,27%"
